id;name;picture_url
1011068;M (Monet St. Croix);http://i.annihil.us/u/prod/marvel/i/mg/b/80/4c0030eabc66f.jpg
1011004;M.O.D.A.M.;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011320;M.O.D.O.G.;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010726;M.O.D.O.K.;http://i.annihil.us/u/prod/marvel/i/mg/0/03/526034ba37851.jpg
1017321;M.O.D.O.K. (Iron Man 3 - The Official Game);http://i.annihil.us/u/prod/marvel/i/mg/c/00/5239c14fcddc0.jpg
1009418;Ma Gnuci;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009314;Mac Gargan;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010851;Mach IV;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010805;Machine Man;http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4c003727804b4.jpg
1009411;Mad Thinker;http://i.annihil.us/u/prod/marvel/i/mg/b/c0/52740faf0d0fb.jpg
1009412;Madame Hydra;http://i.annihil.us/u/prod/marvel/i/mg/c/20/4d5c39a54b1dd.jpg
1010352;Madame Masque;http://i.annihil.us/u/prod/marvel/i/mg/5/00/4ce5a251c1100.jpg
1010796;Madame Web (Julia Carpenter);http://i.annihil.us/u/prod/marvel/i/mg/2/30/4c00373114b4b.jpg
1010724;Maddog;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009509;Madelyne Pryor;http://i.annihil.us/u/prod/marvel/i/mg/c/50/528d33ddaef70.jpg
1011205;Madripoor;http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c7c6221db444.jpg
1009413;Madrox;http://i.annihil.us/u/prod/marvel/i/mg/9/30/52740fc5a4c7c.jpg
1011053;Maelstrom;http://i.annihil.us/u/prod/marvel/i/mg/f/20/4c003114d6700.jpg
1011328;Maestro;http://i.annihil.us/u/prod/marvel/i/mg/4/30/4d278ee344785.jpg
1010867;Magdalene;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009414;Maggott;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010942;Magik (Amanda Sefton);http://i.annihil.us/u/prod/marvel/i/mg/f/b0/4c003414d6535.jpg
1009415;Magik (Illyana Rasputin);http://i.annihil.us/u/prod/marvel/i/mg/6/b0/52695ca8391cc.jpg
1011135;Maginty;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009416;Magma (Amara Aquilla);http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c003d55e4ce8.jpg
1009417;Magneto;http://i.annihil.us/u/prod/marvel/i/mg/3/b0/5261a7e53f827.jpg
1010944;Magneto (Age of Apocalypse);http://i.annihil.us/u/prod/marvel/i/mg/d/70/53176f5026364.jpg
1010945;Magneto (House of M);http://i.annihil.us/u/prod/marvel/i/mg/3/60/53176f6222dd5.jpg
1010943;Magneto (Ultimate);http://i.annihil.us/u/prod/marvel/i/mg/6/60/53176fa65e0e3.jpg
1017477;Magneto (X-Men: Battle of the Atom);http://i.annihil.us/u/prod/marvel/i/mg/c/20/52d72b0f5dcd5.jpg
1010904;Magus (Adam Warlock);http://i.annihil.us/u/prod/marvel/i/mg/2/f0/4c00358c0575c.jpg
1011364;Magus (Technarch);http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011085;Major Mapleleaf;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010725;Makkari;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009242;Malcolm Colcord;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1013479;Malekith;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011229;Malice (Earth-161);http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009420;Man-Thing;http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4ce5a043191dc.jpg
1010811;Man-Wolf;http://i.annihil.us/u/prod/marvel/i/mg/6/90/4c7c641e86d14.jpg
1009421;Mandarin;http://i.annihil.us/u/prod/marvel/i/mg/a/50/535feda892f68.jpg
1011243;Mandrill;http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002efee8164.jpg
1009422;Mandroid;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009423;Manta;http://i.annihil.us/u/prod/marvel/i/mg/f/90/4c003d5308145.jpg
1011026;Mantis;http://i.annihil.us/u/prod/marvel/i/mg/3/20/52740fa12e826.jpg
1009424;Marauders;http://i.annihil.us/u/prod/marvel/i/mg/e/70/52b0d48aaecb1.jpg
1015018;Marcus Van Sciver;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011335;Maria Hill;http://i.annihil.us/u/prod/marvel/i/mg/a/00/535ff3f5397cb.jpg
1009735;Mariko Yashida;http://i.annihil.us/u/prod/marvel/i/mg/3/10/4c00393d65a55.jpg
1009425;Marrow;http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c003d4ce6711.jpg
1011173;Marten Broadcloak;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011263;Martin Li;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011350;Marvel Apes;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009427;Marvel Boy;http://i.annihil.us/u/prod/marvel/i/mg/7/d0/4c003d4a0e1c0.jpg
1011002;Marvel Zombies;http://i.annihil.us/u/prod/marvel/i/mg/c/40/4ce5a430d93fd.jpg
1011495;Marvelman;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011417;Marvex;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009708;Mary Jane Watson;http://i.annihil.us/u/prod/marvel/i/mg/2/03/528d33d000749.jpg
1010993;Mary Jane Watson (House of M);http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c003291616a1.jpg
1011203;Mary Jane Watson (Ultimate);http://i.annihil.us/u/prod/marvel/i/mg/e/f0/4ce5a53fae2a5.jpg
1010869;Masked Marvel (Unrevealed);http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010367;Masque;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010732;Master Chief;http://i.annihil.us/u/prod/marvel/i/mg/c/30/4ce5a2b669c3a.jpg
1009433;Master Mold;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009434;Mastermind;http://i.annihil.us/u/prod/marvel/i/mg/7/d0/4c003d43b02ab.jpg
1011279;Masters of Evil;http://i.annihil.us/u/prod/marvel/i/mg/9/30/4c002e75e67db.jpg
1010877;Mathemanic;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009677;Matsu'o Tsurayaba;http://i.annihil.us/u/prod/marvel/i/mg/1/c0/4ce5a1efc3b2c.jpg
1009463;Matthew Murdock;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010793;Mattie Franklin;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009436;Mauler;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010947;Maverick (Chris Bradley);http://i.annihil.us/u/prod/marvel/i/mg/6/60/4c7c63f89c100.jpg
1009437;Maverick (Christoph Nord);http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011305;Maximus;http://i.annihil.us/u/prod/marvel/i/mg/6/80/52740f7c6f0b7.jpg
1009490;May Parker;http://i.annihil.us/u/prod/marvel/i/mg/c/30/535fec80bb4a6.jpg
1009438;Medusa;http://i.annihil.us/u/prod/marvel/i/mg/c/30/537bb549bebd0.jpg
1011399;Meggan;http://i.annihil.us/u/prod/marvel/i/mg/5/20/4c002e2fa3070.jpg
1009439;Meltdown;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011241;Menace;http://i.annihil.us/u/prod/marvel/i/mg/5/20/4c002f01b93c0.jpg
1011099;Mentallo;http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c0030b9256c6.jpg
1011184;Mentor;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009440;Mephisto;http://i.annihil.us/u/prod/marvel/i/mg/6/40/526034d178ddc.jpg
1009441;Mephistopheles;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010681;Mercury;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009442;Mesmero;http://i.annihil.us/u/prod/marvel/i/mg/5/70/4c003d3b033e8.jpg
1009443;Metal Master;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010361;Meteorite;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011340;MI: 13;http://i.annihil.us/u/prod/marvel/i/mg/c/c0/4ce5a69fe70f2.jpg
1009444;Micro/Macro;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010690;Microbe;http://i.annihil.us/u/prod/marvel/i/mg/6/10/4c0038dd065c8.jpg
1011134;Microchip;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010871;Micromax;http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035aac6564.jpg
1010891;Midnight (Earth-811);http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010924;Miek;http://i.annihil.us/u/prod/marvel/i/mg/3/30/52740f71b50f5.jpg
1009530;Mikhail Rasputin;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011192;Millenium Guard;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010894;Millie the Model;http://i.annihil.us/u/prod/marvel/i/mg/9/00/4c003597aefd0.jpg
1009445;Mimic;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011204;Mindworm;http://i.annihil.us/u/prod/marvel/i/mg/b/d0/4c002f18eabe7.jpg
1013727;Miracleman;http://i.annihil.us/u/prod/marvel/i/mg/5/90/545a820a2dc50.jpg
1011424;Miss America;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
