Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Muscle_Mass_Percentage,BMR,BMI_Status,Fat_Status,Age_Group,Combined_Status,Muscle_Status,Interpretation,Incongruence_Flag
25,Male,53.2,1.7,190,164,56,0.59,532.0,Strength,28.8,2.1,3,1,18.41,32.04,1474,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Below Optimal (Consider increasing muscle mass),Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
38,Male,46.1,1.79,188,158,68,0.64,556.0,Strength,29.2,2.8,3,1,14.39,31.859999999999992,1349,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Below Optimal (Consider increasing muscle mass),Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
53,Male,51.7,1.7,175,152,72,1.15,865.0,HIIT,23.6,3.5,3,2,17.89,34.38,1295,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
59,Male,53.9,1.75,168,135,69,1.48,989.0,Strength,21.6,2.8,4,2,17.6,35.28000000000001,1315,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
42,Male,45.5,1.6,166,163,64,1.31,1057.0,Strength,21.7,2.6,3,2,17.77,35.235,1227,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
26,Female,44.3,1.6,186,136,61,1.08,734.0,Cardio,34.7,2.0,3,1,17.3,26.119999999999997,1240,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
45,Male,52.4,1.85,186,161,73,1.2,956.0,Strength,25.2,2.5,3,1,15.31,29.92,1422,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Below Optimal (Consider increasing muscle mass),Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
24,Male,54.7,1.74,160,167,53,0.84,772.0,Yoga,22.9,3.6,3,1,18.07,34.695,1519,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
35,Female,44.6,1.62,196,157,65,0.56,440.0,HIIT,32.4,2.0,2,1,16.99,27.040000000000003,1210,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
51,Female,44.8,1.63,198,137,69,1.08,666.0,Yoga,33.8,2.1,4,2,16.86,26.480000000000004,1146,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
53,Male,51.8,1.74,179,127,61,1.23,773.0,Strength,21.3,3.7,3,2,17.11,35.415,1316,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
57,Female,64.0,1.52,170,129,52,1.73,1004.0,Strength,15.2,2.7,5,3,27.7,38.16,1263,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
50,Male,69.6,1.96,166,139,68,0.97,667.0,Strength,25.6,2.0,3,1,18.12,29.76,1677,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Below Optimal (Consider increasing muscle mass),Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
56,Male,55.6,1.92,181,136,62,0.68,458.0,Strength,29.4,3.2,3,1,15.08,28.24,1436,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Below Optimal (Consider increasing muscle mass),Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
59,Male,50.3,1.95,188,167,55,1.07,885.0,Strength,24.4,3.4,3,1,13.23,30.240000000000006,1363,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
45,Male,46.6,1.79,176,168,55,1.46,1214.0,Yoga,22.9,2.4,3,2,14.54,34.695,1316,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
47,Female,61.9,1.54,190,131,61,1.95,1150.0,Yoga,16.4,2.7,4,3,26.1,37.62000000000001,1293,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
42,Male,62.9,1.98,173,126,61,1.42,886.0,Yoga,28.5,3.4,4,2,16.04,32.175000000000004,1642,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
25,Female,43.1,1.62,196,161,65,1.04,837.0,HIIT,33.6,1.8,4,2,16.42,29.879999999999995,1239,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
44,Female,59.1,1.52,177,136,56,1.58,967.0,Yoga,18.4,2.7,5,3,25.58,36.720000000000006,1274,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
50,Male,51.1,1.98,171,126,52,0.92,574.0,Yoga,28.0,2.4,2,1,13.03,28.800000000000004,1439,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Below Optimal (Consider increasing muscle mass),Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
41,Male,51.5,1.8,166,126,60,1.09,680.0,Strength,26.7,2.1,4,2,15.9,32.98500000000001,1409,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
29,Female,56.2,1.77,191,123,61,0.68,418.0,Yoga,33.4,2.6,3,1,17.94,26.640000000000004,1390,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
45,Male,51.1,1.87,177,158,57,1.44,1126.0,Cardio,26.2,3.4,4,2,14.61,33.21,1414,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
50,Male,57.1,1.91,184,131,68,1.09,707.0,Yoga,29.5,2.7,4,2,15.65,31.725,1486,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
49,Female,40.0,1.65,188,148,74,1.03,686.0,Yoga,34.3,2.5,3,2,14.69,26.280000000000005,1116,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
28,Male,66.0,1.9,175,158,56,1.18,1025.0,HIIT,24.1,3.0,3,1,18.28,34.155,1725,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
41,Female,63.4,1.59,162,153,55,1.84,1267.0,HIIT,15.2,2.7,5,3,25.08,38.16,1348,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
50,Male,45.4,1.67,163,158,62,1.37,1071.0,Yoga,24.1,2.8,4,2,16.28,34.154999999999994,1214,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
37,Male,49.1,1.74,193,138,52,1.11,842.0,Yoga,22.3,2.6,3,2,16.22,38.85,1371,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
18,Female,63.9,1.59,185,125,50,1.87,1169.0,Strength,16.4,2.7,4,3,25.28,41.800000000000004,1453,Overweight,Low Fat (Consider increasing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
47,Male,55.6,1.77,198,138,68,1.2,820.0,Cardio,24.3,2.9,4,2,17.75,34.065,1415,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
49,Male,46.5,1.72,169,120,72,1.4,832.0,Yoga,22.2,2.6,4,2,15.72,35.010000000000005,1258,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
52,Male,45.1,1.72,196,129,70,0.93,594.0,Cardio,27.5,3.3,2,1,15.24,28.999999999999996,1222,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Below Optimal (Consider increasing muscle mass),Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
50,Male,50.6,1.69,162,156,60,1.31,1012.0,Cardio,23.8,3.0,2,1,17.72,30.48,1293,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
25,Male,49.9,1.98,165,122,68,1.15,772.0,Yoga,25.7,2.1,3,2,12.73,37.15,1565,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
35,Female,64.2,1.59,199,145,66,1.63,1182.0,Yoga,16.6,2.7,5,3,25.39,41.699999999999996,1382,Overweight,Low Fat (Consider increasing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
37,Male,48.7,1.67,164,132,74,1.39,1009.0,Yoga,27.3,3.0,2,1,17.46,32.714999999999996,1332,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Below Optimal (Consider increasing muscle mass),Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
55,Female,42.9,1.69,186,140,56,0.9,567.0,Yoga,34.7,2.4,2,1,15.02,22.855,1129,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
52,Female,64.9,1.51,164,165,68,1.83,1359.0,HIIT,18.2,2.7,4,3,28.46,36.81,1290,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
48,Female,62.9,1.58,192,124,69,1.98,1105.0,Strength,20.0,2.7,4,3,25.2,36.00000000000001,1310,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
38,Male,61.3,1.97,177,146,51,1.37,1100.0,Cardio,23.5,2.8,3,1,15.8,34.425,1639,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
26,Female,59.3,1.51,181,129,71,1.7,1096.0,Strength,15.1,2.7,5,3,26.01,42.449999999999996,1351,Overweight,Low Fat (Consider increasing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
46,Male,45.0,1.77,185,162,58,1.48,1187.0,Cardio,29.1,3.6,3,2,14.36,31.904999999999994,1279,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
30,Male,64.1,1.87,182,142,67,0.64,500.0,Yoga,26.2,2.1,2,1,18.33,33.21000000000001,1674,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
40,Male,51.7,1.82,161,160,71,0.9,792.0,Strength,21.4,3.0,3,1,15.61,31.44,1427,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
40,Female,62.6,1.53,197,143,73,1.93,1380.0,Cardio,18.1,2.7,5,3,26.74,36.855,1327,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
36,Female,47.2,1.74,196,160,53,1.5,1200.0,Cardio,32.2,1.6,4,2,15.59,30.50999999999999,1267,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Athlete,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
36,Male,56.2,1.95,183,128,64,1.09,767.0,Strength,22.5,3.4,4,2,14.78,38.75000000000001,1572,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
26,Female,64.1,1.5,194,134,60,1.93,1293.0,Strength,15.1,2.7,5,3,28.49,42.449999999999996,1392,Overweight,Low Fat (Consider increasing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
43,Female,42.7,1.66,173,134,53,0.73,440.0,Yoga,33.9,1.9,2,1,15.5,23.135,1170,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
54,Male,54.6,1.76,160,137,56,1.28,868.0,Cardio,27.4,3.3,4,2,17.63,32.67,1357,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
54,Female,64.5,1.53,171,120,58,1.74,940.0,Yoga,17.2,2.7,4,3,27.55,37.260000000000005,1284,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
40,Male,58.2,1.98,198,138,74,1.43,1085.0,Cardio,24.0,2.5,3,2,14.85,34.199999999999996,1591,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
22,Male,62.2,1.84,161,140,65,0.51,393.0,Strength,21.5,2.3,3,1,18.37,35.325,1679,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
49,Male,61.0,1.87,180,131,61,1.14,739.0,Strength,21.3,3.0,4,2,17.44,35.415000000000006,1524,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
